,Cmin_0.15,Cmin_0.30,Cmin_0.50,Cmin_0.70
Cmin_0.15,1.0,0.3449197860962567,0.11351351351351352,0.045871559633027525
Cmin_0.30,0.3449197860962567,1.0,0.3035019455252918,0.11814345991561181
Cmin_0.50,0.11351351351351352,0.3035019455252918,1.0,0.3700787401574803
Cmin_0.70,0.045871559633027525,0.11814345991561181,0.3700787401574803,1.0
