scenario,objective_top5_threshold,top5_pixel_count,jaccard_vs_Cmin_0.50
Cmin_0.15,0.7166778922080994,290,0.11351351351351352
Cmin_0.30,0.7111606299877167,213,0.3035019455252918
Cmin_0.50,0.7046743631362915,122,1.0
Cmin_0.70,0.7027645468711853,52,0.3700787401574803
